time_iso8601,stars_cumulative
2021-02-28 00:00:00+00:00,1
2021-03-07 00:00:00+00:00,2
2021-04-07 00:00:00+00:00,3
2021-05-14 00:00:00+00:00,4
2021-05-24 00:00:00+00:00,5
2021-06-04 00:00:00+00:00,6
2021-06-08 00:00:00+00:00,7
2021-06-09 00:00:00+00:00,10
2021-06-10 00:00:00+00:00,16
2021-06-11 00:00:00+00:00,18
2021-06-15 00:00:00+00:00,19
2021-06-16 00:00:00+00:00,20
2021-06-18 00:00:00+00:00,22
2021-06-19 00:00:00+00:00,23
2021-06-20 00:00:00+00:00,25
2021-06-21 00:00:00+00:00,26
2021-06-22 00:00:00+00:00,27
2021-06-23 00:00:00+00:00,29
2021-06-24 00:00:00+00:00,35
2021-06-26 00:00:00+00:00,39
2021-06-30 00:00:00+00:00,43
2021-07-01 00:00:00+00:00,44
2021-07-03 00:00:00+00:00,45
2021-07-04 00:00:00+00:00,47
2021-07-05 00:00:00+00:00,49
2021-07-06 00:00:00+00:00,52
2021-07-07 00:00:00+00:00,53
2021-07-12 00:00:00+00:00,54
2021-07-13 00:00:00+00:00,55
2021-07-17 00:00:00+00:00,57
2021-07-19 00:00:00+00:00,59
2021-07-20 00:00:00+00:00,60
2021-07-21 00:00:00+00:00,62
2021-07-28 00:00:00+00:00,64
2021-07-29 00:00:00+00:00,66
2021-08-02 00:00:00+00:00,67
2021-08-03 00:00:00+00:00,68
2021-08-09 00:00:00+00:00,69
2021-08-10 00:00:00+00:00,70
2021-08-16 00:00:00+00:00,71
2021-08-18 00:00:00+00:00,72
2021-08-19 00:00:00+00:00,73
2021-08-24 00:00:00+00:00,74
2021-08-25 00:00:00+00:00,75
2021-08-26 00:00:00+00:00,77
2021-08-29 00:00:00+00:00,78
2021-09-05 00:00:00+00:00,79
2021-09-20 00:00:00+00:00,80
2021-09-23 00:00:00+00:00,82
2021-09-24 00:00:00+00:00,83
2021-09-29 00:00:00+00:00,84
2021-10-06 00:00:00+00:00,85
2021-10-07 00:00:00+00:00,86
2021-10-08 00:00:00+00:00,87
2021-10-12 00:00:00+00:00,88
2021-10-18 00:00:00+00:00,92
2021-10-19 00:00:00+00:00,93
2021-10-20 00:00:00+00:00,98
2021-10-21 00:00:00+00:00,102
2021-10-22 00:00:00+00:00,103
2021-10-23 00:00:00+00:00,105
2021-10-24 00:00:00+00:00,108
2021-10-25 00:00:00+00:00,109
