time_iso8601,stars_cumulative
2021-02-28 00:00:00+00:00,1
2021-03-07 00:00:00+00:00,2
2021-04-07 00:00:00+00:00,3
2021-05-14 00:00:00+00:00,4
2021-05-24 00:00:00+00:00,5
2021-06-04 00:00:00+00:00,6
2021-06-08 00:00:00+00:00,7
2021-06-09 00:00:00+00:00,10
2021-06-10 00:00:00+00:00,16
2021-06-11 00:00:00+00:00,18
2021-06-16 00:00:00+00:00,19
2021-06-18 00:00:00+00:00,21
2021-06-19 00:00:00+00:00,22
2021-06-20 00:00:00+00:00,24
2021-06-21 00:00:00+00:00,25
2021-06-22 00:00:00+00:00,26
2021-06-23 00:00:00+00:00,28
2021-06-24 00:00:00+00:00,34
2021-06-26 00:00:00+00:00,38
2021-06-30 00:00:00+00:00,42
2021-07-01 00:00:00+00:00,43
2021-07-03 00:00:00+00:00,44
2021-07-04 00:00:00+00:00,46
2021-07-05 00:00:00+00:00,48
2021-07-06 00:00:00+00:00,51
2021-07-07 00:00:00+00:00,52
2021-07-12 00:00:00+00:00,53
2021-07-13 00:00:00+00:00,54
2021-07-17 00:00:00+00:00,56
2021-07-19 00:00:00+00:00,58
2021-07-20 00:00:00+00:00,59
2021-07-21 00:00:00+00:00,61
2021-07-28 00:00:00+00:00,63
2021-07-29 00:00:00+00:00,65
2021-08-02 00:00:00+00:00,66
2021-08-03 00:00:00+00:00,67
2021-08-09 00:00:00+00:00,68
2021-08-10 00:00:00+00:00,69
2021-08-16 00:00:00+00:00,70
2021-08-18 00:00:00+00:00,71
2021-08-19 00:00:00+00:00,72
2021-08-24 00:00:00+00:00,73
2021-08-25 00:00:00+00:00,74
2021-08-26 00:00:00+00:00,76
2021-08-29 00:00:00+00:00,77
2021-09-05 00:00:00+00:00,78
2021-09-20 00:00:00+00:00,79
2021-09-23 00:00:00+00:00,81
2021-09-24 00:00:00+00:00,82
2021-09-29 00:00:00+00:00,83
2021-10-06 00:00:00+00:00,84
2021-10-07 00:00:00+00:00,85
2021-10-08 00:00:00+00:00,86
2021-10-12 00:00:00+00:00,87
2021-10-18 00:00:00+00:00,91
2021-10-19 00:00:00+00:00,92
2021-10-20 00:00:00+00:00,97
2021-10-21 00:00:00+00:00,101
2021-10-22 00:00:00+00:00,102
2021-10-23 00:00:00+00:00,104
2021-10-24 00:00:00+00:00,107
2021-10-25 00:00:00+00:00,108
2021-10-26 00:00:00+00:00,116
2021-10-27 00:00:00+00:00,117
2021-10-28 00:00:00+00:00,119
2021-10-30 00:00:00+00:00,122
2021-10-31 00:00:00+00:00,123
2021-11-01 00:00:00+00:00,124
2021-11-03 00:00:00+00:00,125
2021-11-04 00:00:00+00:00,126
2021-11-10 00:00:00+00:00,128
2021-11-11 00:00:00+00:00,130
2021-11-12 00:00:00+00:00,131
2021-11-16 00:00:00+00:00,133
2021-11-17 00:00:00+00:00,136
2021-11-18 00:00:00+00:00,138
2021-11-19 00:00:00+00:00,139
2021-11-20 00:00:00+00:00,140
2021-11-22 00:00:00+00:00,142
2021-11-23 00:00:00+00:00,146
2021-11-24 00:00:00+00:00,151
2021-11-25 00:00:00+00:00,152
2021-11-28 00:00:00+00:00,155
2021-11-29 00:00:00+00:00,156
2021-11-30 00:00:00+00:00,157
2021-12-01 00:00:00+00:00,158
2021-12-02 00:00:00+00:00,163
2021-12-03 00:00:00+00:00,165
2021-12-05 00:00:00+00:00,166
2021-12-08 00:00:00+00:00,167
2021-12-14 00:00:00+00:00,168
2021-12-15 00:00:00+00:00,169
2021-12-16 00:00:00+00:00,170
2021-12-20 00:00:00+00:00,171
2021-12-23 00:00:00+00:00,173
2021-12-29 00:00:00+00:00,175
2021-12-30 00:00:00+00:00,176
2021-12-31 00:00:00+00:00,177
2022-01-02 00:00:00+00:00,178
2022-01-04 00:00:00+00:00,180
2022-01-07 00:00:00+00:00,181
2022-01-08 00:00:00+00:00,186
2022-01-09 00:00:00+00:00,187
2022-01-10 00:00:00+00:00,188
2022-01-11 00:00:00+00:00,190
2022-01-13 00:00:00+00:00,192
2022-01-15 00:00:00+00:00,193
2022-01-16 00:00:00+00:00,194
2022-01-17 00:00:00+00:00,196
2022-01-19 00:00:00+00:00,199
2022-01-20 00:00:00+00:00,206
2022-01-21 00:00:00+00:00,207
2022-01-23 00:00:00+00:00,209
2022-01-24 00:00:00+00:00,210
2022-01-25 00:00:00+00:00,211
2022-01-27 00:00:00+00:00,212
2022-01-28 00:00:00+00:00,213
2022-01-29 00:00:00+00:00,216
2022-01-31 00:00:00+00:00,217
2022-02-01 00:00:00+00:00,218
